siteID,plotID,nlcdClass,elevation,collectDate,individualCount,testResult,testPathogenName,subsampleID,month,year
HARV,HARV_022,evergreenForest,185.9,2016-05-26,1,Positive,Borrelia sp.,HARV_022.20160526.IXOSCA.N,5,2016
HARV,HARV_022,evergreenForest,185.9,2016-05-26,1,Negative,Babesia microti,HARV_022.20160526.IXOSCA.N,5,2016
HARV,HARV_022,evergreenForest,185.9,2016-05-26,1,Negative,Borrelia miyamotoi,HARV_022.20160526.IXOSCA.N,5,2016
HARV,HARV_022,evergreenForest,185.9,2016-05-26,1,Positive,Borrelia burgdorferi sensu lato,HARV_022.20160526.IXOSCA.N,5,2016
HARV,HARV_022,evergreenForest,185.9,2016-05-26,1,Negative,Anaplasma phagocytophilum,HARV_022.20160526.IXOSCA.N,5,2016
HARV,HARV_022,evergreenForest,185.9,2016-05-26,1,Negative,Borrelia mayonii,HARV_022.20160526.IXOSCA.N,5,2016
HARV,HARV_022,evergreenForest,185.9,2016-05-26,1,Negative,Borrelia mayonii,HARV_022.20160526.IXOSCA.N,5,2016
HARV,HARV_022,evergreenForest,185.9,2016-05-26,1,Negative,Borrelia miyamotoi,HARV_022.20160526.IXOSCA.N,5,2016
HARV,HARV_022,evergreenForest,185.9,2016-05-26,1,Negative,Anaplasma phagocytophilum,HARV_022.20160526.IXOSCA.N,5,2016
HARV,HARV_022,evergreenForest,185.9,2016-05-26,1,Negative,Ixodes pacificus,HARV_022.20160526.IXOSCA.N,5,2016
HARV,HARV_022,evergreenForest,185.9,2016-05-26,1,Negative,Ixodes pacificus,HARV_022.20160526.IXOSCA.N,5,2016
HARV,HARV_022,evergreenForest,185.9,2016-05-26,1,Negative,Ixodes pacificus,HARV_022.20160526.IXOSCA.N,5,2016
HARV,HARV_022,evergreenForest,185.9,2016-05-26,1,Negative,Borrelia miyamotoi,HARV_022.20160526.IXOSCA.N,5,2016
HARV,HARV_022,evergreenForest,185.9,2016-05-26,1,Negative,Borrelia sp.,HARV_022.20160526.IXOSCA.N,5,2016
HARV,HARV_022,evergreenForest,185.9,2016-05-26,1,Negative,Anaplasma phagocytophilum,HARV_022.20160526.IXOSCA.N,5,2016
HARV,HARV_022,evergreenForest,185.9,2016-05-26,1,Negative,Ehrlichia muris-like,HARV_022.20160526.IXOSCA.N,5,2016
HARV,HARV_022,evergreenForest,185.9,2016-05-26,1,Positive,Borrelia sp.,HARV_022.20160526.IXOSCA.N,5,2016
HARV,HARV_022,evergreenForest,185.9,2016-05-26,1,Negative,Anaplasma phagocytophilum,HARV_022.20160526.IXOSCA.N,5,2016
HARV,HARV_022,evergreenForest,185.9,2016-05-26,1,Negative,Anaplasma phagocytophilum,HARV_022.20160526.IXOSCA.N,5,2016
HARV,HARV_022,evergreenForest,185.9,2016-05-26,1,Negative,Anaplasma phagocytophilum,HARV_022.20160526.IXOSCA.N,5,2016
HARV,HARV_022,evergreenForest,185.9,2016-05-26,1,Positive,Borrelia burgdorferi sensu lato,HARV_022.20160526.IXOSCA.N,5,2016
HARV,HARV_022,evergreenForest,185.9,2016-05-26,1,Negative,Borrelia sp.,HARV_022.20160526.IXOSCA.N,5,2016
HARV,HARV_022,evergreenForest,185.9,2016-05-26,1,Negative,Babesia microti,HARV_022.20160526.IXOSCA.N,5,2016
HARV,HARV_022,evergreenForest,185.9,2016-05-26,1,Negative,Ixodes pacificus,HARV_022.20160526.IXOSCA.N,5,2016
